NIF;NOMBRE FONDO;NUMERO REGISTRO CNMV;GESTORA;DEPOSITARIO;AUDITOR
V75131359;  BANKOA SELECCIÓN ESTRATEGIA , FI ;4866; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V75133587;  LABORAL KUTXA AKTIBO IPAR,FI ;4874; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V75135293;  LABORAL KUTXA KONPROMISO, FI ;4884; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V75146225;  LABORAL KUTXA SELEK BALANCE, FI ;4943; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V75163410;  ABANCA RENDIMIENTO, FI ;5076; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V75171728;  BANKOA BP PRIME CONSERVADOR, FI ;5126; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V75182030;  LABORAL KUTXA AKTIBO EKI, FI ;5191; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V75192286;  LABORAL KUTXA FUTUR, FI ;5250; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V75237206;  BANKOA SELECCIÓN ESTRATEGIA  CONSERVADOR,FI ;5446; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V78216876;  FONMARCH, FI ;9; 1) MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.        ;BANCA MARCH, S.A.        ;Deloitte S.L.
V78277720;  INVERBANSER, FI ;13; 1) SANTANDER ASSET MANAGEMENT, S.A., SGIIC        ;CACEIS BANK SPAIN S.A.;PricewaterhouseCoopers Auditores, S.L.
V78408622;  GCO AHORRO, FI ;3669; 1) GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC        ;BANCO BILBAOVIZCAYA ARGENTARIA, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V78435468;  MUTUAFONDO, FI ;50; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;Ernst & YoungSL
V78498219;  BANKINTER DEUDA FINANCIERA, FI ;60; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V78600921;  CAIXABANK AHORRO, FI ;93; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL.
V78771383;  MEDIOLANUM RENTA, FI ;132; 1) MEDIOLANUM GESTION, S.G.I.I.C., S.A.        ;BANCO MEDIOLANUM, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V78776648;  BANKINTER CAPITAL PLUS, FI ;3667; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V78798840;  METAVALOR, FI ;104; 1) METAGESTION, S.A., SGIIC        ;BANCO INVERSIS, S.A.        ;MAZARSAUDITORES, SLP
V78822269;  BBVA BOLSA, FI ;131; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;ERNEST & YOUNG, S.L
V78848918;  GCO ACCIONES, FI ;134; 1) GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC        ;BANCO BILBAOVIZCAYA ARGENTARIA, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V79328134;  CAIXABANK FONDTESORO LARGO PLAZO, FI ;173; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V79468401;  CAIXABANK SMALL & MID CAPS ESPAÑA, FI ;186; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L
V79489316;  IMANTIA RENTA FIJA FLEXIBLE, FI ;3605; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V79497376;  BBVA BONOS DURACION FLEXIBLE, FI ;255; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;Deloitte
V79497384;  BBVA FONDTESORO CORTO PLAZO, FI ;3603; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;DELOITTE, S.L.
V79523718;  MAPFRE FONDTESORO PLUS, FI ;200; 1) MAPFRE ASSET MANAGEMENT, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;KPMG Auditores, S.L
V79734406;  BBVA BONOS CORPORATIVOS, FI ;212; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;DELOITTE, S.L.
V79889481;  FONBUSA, FI ;216; 1) GESBUSA, S.A., S.G.I.I.C.        ;CREDIT SUISSE AG, SUCURSAL EN ESPAÑA        ;Auren Auditores
V79992004;  FONVALCEM, FI ;243; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V80031107;  PROFIT CORTO PLAZO, FI ;3721; 1) GESPROFIT, S.A., S.G.I.I.C.        ;CECABANK, S.A.        ;Lasemer Auditores S.L.
V80031115;  FONPROFIT, FI ;249; 1) GESPROFIT, S.A., S.G.I.I.C.        ;CECABANK, S.A.        ;Lasemer Auditores S.L.
V80038953;  BANKOA SELECCIÓN ESTRATEGIA ISR, FI ;244; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V80043193;  CS PREMIUM DINÁMICO, FI ;250; 1) CREDIT SUISSE GESTION, S.G.I.I.C., S.A.        ;CREDIT SUISSE AG, SUCURSAL ENESPAÑA        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V80057284;  CREAND ACCIONES, FI ;252; 1) GESALCALA, S.A., S.G.I.I.C.        ;BANCO INVERSIS, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V80077902;  CS CORTO PLAZO, FI ;274; 1) CREDIT SUISSE GESTION, S.G.I.I.C., S.A.        ;CREDIT SUISSE AG, SUCURSAL ENESPAÑA        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V80102841;  RURAL RENTA FIJA , FI ;3490; 1) GESCOOPERATIVO, S.A., S.G.I.I.C.        ;BANCO COOPERATIVO ESPAÑOL, S.A.;KPMG Auditores, S.L.
V80116478;  FONDIBAS, FI ;283; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;BAILEN 20, S.A.P.
V80270358;  BANKINTER MULTIESTRATEGIA, FI ;303; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V80346265;  AMUNDI CORTO PLAZO, FI ;3697; 1) AMUNDI IBERIA, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;MAZARSAUDITORES S.L.P.
V80380892;  PATRIVAL, FI ;349; 1) PATRIVALOR, SGIIC, S.A.        ;CECABANK, S.A.        ;UHY Fay Co AuditoresConsultores
V80396427;  GETINO GESTION ACTIVA, FI ;352; 1) GESALCALA, S.A., S.G.I.I.C.        ;BANCO INVERSIS, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V80405319;  RURAL RENTA FIJA FLEXIBLE, FI ;358; 1) GESCOOPERATIVO, S.A., S.G.I.I.C.        ;BANCO COOPERATIVO ESPAÑOL, S.A.;KPMG Auditores, SL
V80416530;  MUTUAFONDO HIGH YIELD, FI ;374; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;Ernst & YoungSL
V80421100;  BBVA BONOS INTERNACIONAL FLEXIBLE, FI ;369; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;DELOITTE, S.L.
V80453756;  GVC GAESCO RETORNO ABSOLUTO, FI ;372; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;DELOITTE, S.L.
V80475213;  FIDEFONDO, FI ;382; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;Deloitte, S.L.
V80480593;  FONDMAPFRE RENTA CORTO, FI ;380; 1) MAPFRE ASSET MANAGEMENT, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;KPMG Auditores, S.L
V80645443;  HIGH RATE, FI ;417; 1) INTERMONEY GESTION, S.G.I.I.C., S.A.        ;BANCO INVERSIS, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V80714306;  ABANCA RENTA VARIABLE MIXTA, FI ;451; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V80852593;  PATRIBOND, FI ;485; 1) PATRIVALOR, SGIIC, S.A.        ;CECABANK, S.A.        ;UHY Fay Co AuditoresConsultores S. A.
V80940083;  BBVA GESTION CONSERVADORA, FI ;519; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;KPMG
V80945710;  CAIXABANK FONDOS GLOBAL SELECCION, FI ;531; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V81029019;  AMUNDI ESTRATEGIA GLOBAL, FI ;547; 1) AMUNDI IBERIA, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;MAZARSAUDITORES S.L.P.
V81208290;  BBVA BONOS DURACION, FI ;595; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;DELOITTE, S.L.
V81362519;  CAIXABANK MIXTO RENTA FIJA , FI ;643; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V81482986;  BBVA BOLSA INDICE, FI ;681; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;KPMG
V81513996;  BBVA USA DESARROLLO CUBIERTO ISR, FI ;705; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;ERNST & YOUNG, S.L.
V81521718;  FONDMAPFRE RENTA FIJA FLEXIBLE, FI ;726; 1) MAPFRE ASSET MANAGEMENT, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;KPMG Auditores, S.L
V81522351;  BANKINTER RENTA FIJA LARGO PLAZO, FI ;719; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V81525545;  MUTUAFONDO LP, FI ;711; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;Ernst & YoungSL
V81526253;  BANKINTER AHORRO RENTA FIJA, FI ;687; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V81545493;  ALCALA MULTIGESTION, FI ;737; 1) GESALCALA, S.A., S.G.I.I.C.        ;BANCO INVERSIS, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V81552234;  FONBUSA MIXTO, FI ;759; 1) GESBUSA, S.A., S.G.I.I.C.        ;CREDIT SUISSE AG, SUCURSAL EN ESPAÑA        ;Auren Auditores
V81565806;  RURAL MIXTO INTERNACIONAL , FI ;788; 1) GESCOOPERATIVO, S.A., S.G.I.I.C.        ;BANCO COOPERATIVO ESPAÑOL, S.A.;KPMG Auditores, S.L.
V81565822;  RURAL RENDIMIENTO SOSTENIBLE, FI ;3492; 1) GESCOOPERATIVO, S.A., S.G.I.I.C.        ;BANCO COOPERATIVO ESPAÑOL, S.A.;KPMG Auditores, S.L.
V81569725;  RURAL ESTADOS UNIDOS BOLSA, FI ;793; 1) GESCOOPERATIVO, S.A., S.G.I.I.C.        ;BANCO COOPERATIVO ESPAÑOL, S.A.;KPMG Auditores, S.L.
V81578528;  RURAL MIXTO INTERNACIONAL /, FI ;811; 1) GESCOOPERATIVO, S.A., S.G.I.I.C.        ;BANCO COOPERATIVO ESPAÑOL, S.A.;KPMG Auditores, S.L.
V81605214;  RURAL SELECCION CONSERVADORA, FI ;840; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;BANCO INVERSIS, S.A.        ;PriceWaterhouseCoopers S.L.
V81608549;  LIBERBANK AHORRO, FI ;861; 1) UNIGEST, S.G.I.I.C., S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V81608564;  LIBERBANK CAPITAL FINANCIERO, FI ;3394; 1) UNIGEST, S.G.I.I.C., S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V81623936;  BBVA RENTABILIDAD AHORRO CORTO PLAZO, FI ;3372; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;KPMG AUDITORES, S.L.
V81642498;  MUTUAFONDO BOLSA EUROPEA, FI ;828; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;Ernst & YoungSL
V81659716;  BBVA BOLSA EUROPA, FI ;915; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;PRICEWATERHOUSE COOPERS AUDITORES, S.L.
V81663973;  MARCH PORTFOLIO MAX , FI ;925; 1) MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.        ;BANCA MARCH, S.A.        ;DELOITTE, S.L.
V81713398;  LIBERBANK MIX-RENTA FIJA, FI ;987; 1) UNIGEST, S.G.I.I.C., S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V81726184;  BBVA BOLSA EMERGENTES MF, FI ;975; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;ERNST & YOUNG, S.L.
V81726192;  BBVA EUROPA DESARROLLO ISR, FI ;973; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;ERNST & YOUNG, S.L.
V81726200;  BBVA USA DESARROLLO ISR, FI ;974; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;ERNST & YOUNG, S.L.
V81755241;  BBVA BONOS DOLAR CORTO PLAZO, FI ;1114; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;KPMG AUDITORES, S.L.
V81755472;  DB CONSERVADOR ESG, FI ;1064; 1) DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;ERNST & YOUNG S.L.
V81757817;  BBVA BOLSA PLUS, FI ;1052; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;Ernst & Young, S.L.
V81759805;  GESRIOJA, FI ;1067; 1) TREA ASSET MANAGEMENT S.G.I.I.C., S.A.        ;CECABANK, S.A.        ;SánchezAndrés Auditores, S.L.
V81767535;  BBVA BOLSA INDICE EURO, FI ;1093; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;Ernst&Young, S.L.
V81768061;  CREAND GLOBAL, FI ;1091; 1) GESALCALA, S.A., S.G.I.I.C.        ;BANCO INVERSIS, S.A.        ;KPMG AUDITORESS.L.
V81770737;  ARTE FINANCIERO, FI ;1110; 1) TREA ASSET MANAGEMENT S.G.I.I.C., S.A.        ;CECABANK, S.A.        ;BAILEN 20,S.A.P.
V81790958;  INVERTRES FONDO I, FI ;1121; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V81791055;  CAIXABANK BOLSA GESTION EURO, FI ;1138; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V81795395;  CAIXABANK BANKIA BOLSA USA, FI ;1139; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L
V81816753;  BBVA GLOBAL DESARROLLO ISR, FI ;1172; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;ERNST & YOUNG, S.L.
V81820060;  FONDANETO, FI ;1175; 1) SANTANDER ASSET MANAGEMENT, S.A., SGIIC        ;CACEIS BANK SPAIN S.A.;PricewaterhouseCoopers Auditores, S.L.
V81828154;  BBVA BOLSA TECNOLOGIA Y TELECOMUNICACIONES, FI ;1189; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V81853590;  LIBERBANK EUROPA OPPORTUNITIES, FI ;1234; 1) UNIGEST, S.G.I.I.C., S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V81858037;  CS RENTA FIJA -, FI ;3688; 1) CREDIT SUISSE GESTION, S.G.I.I.C., S.A.        ;CREDIT SUISSE AG, SUCURSAL ENESPAÑA        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V81858060;  CREDIT SUISSE BOLSA, FI ;1270; 1) CREDIT SUISSE GESTION, S.G.I.I.C., S.A.        ;CREDIT SUISSE AG, SUCURSAL ENESPAÑA        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V81875668;  BANKINTER MIXTO RENTA FIJA, FI ;1248; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V81896714;  BANKINTER CAPITAL , FI ;3673; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V81896722;  BANKINTER AHORRO ACTIVOS EURO, FI ;3654; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V81925448;  NR FONDO , FI ;1377; 1) TREA ASSET MANAGEMENT S.G.I.I.C., S.A.        ;CECABANK, S.A.        ;BAILEN 20,S.A.P.
V81931958;  MARCH RENTA FIJA CORTO PLAZO, FI ;1324; 1) MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.        ;BANCA MARCH, S.A.        ;Deloitte S.L.
V81960445;  QUALITY MEJORES IDEAS, FI ;1367; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;Ernst & Young, S.L.
V81961146;  RURAL MIXTO , FI ;1404; 1) GESCOOPERATIVO, S.A., S.G.I.I.C.        ;BANCO COOPERATIVO ESPAÑOL, S.A.;KPMG Auditores, S.L.
V81980070;  AFI GLOBAL FI ;1392; 1) AFI INVERSIONES GLOBALES, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;KPMG AUDITORES, S.L
V81980260;  RURAL RENTA VARIABLE ESPAÑA, FI ;1405; 1) GESCOOPERATIVO, S.A., S.G.I.I.C.        ;BANCO COOPERATIVO ESPAÑOL, S.A.;KPMG Auditores, S.L.
V81990103;  BANKINTER RENTA VARIABLE EURO, FI ;1417; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V81990129;  BANKINTER FUTURO IBEX, FI ;1418; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V81998478;  CAIXABANK BANCA PRIVADA SELECCION, FI ;1461; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V82012329;  BBVA MEGATENDENCIA DEMOGRAFIA, FI ;1423; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;ERNST & YOUNG, S.L
V82034885;  DB CRECIMIENTO ESG,FI ;1470; 1) DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;Ernst & Young, S.L
V82037508;  RURAL BONOS  AÑOS, FI ;1486; 1) GESCOOPERATIVO, S.A., S.G.I.I.C.        ;BANCO COOPERATIVO ESPAÑOL, S.A.;KPMG Auditores, S.L.
V82055906;  ABANCA RENTA VARIABLE EUROPA, FI ;1540; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V82056201;  DB FONCREATIVO, FI ;1543; 1) DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;ERNST & YOUNG S.L.
V82062696;  IMANTIA RENTA FIJA DURACION -, FI ;1566; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V82066291;  FONDONORTE EUROBOLSA, FI ;1606; 1) GESNORTE, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE, SL
V82068701;  RENTA  UNIVERSAL, FI ;1548; 1) RENTA 4 GESTORA, S.G.I.I.C., S.A.        ;RENTA 4 BANCO, S.A.        ;KPMGAuditores S.L.
V82086448;  MARCH GLOBAL, FI ;1578; 1) MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.        ;BANCA MARCH, S.A.        ;Deloitte S.L.
V82096025;  BBVA BOLSA INDICE JAPON (CUBIERTO), FI ;1541; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;Ernst & Young, S.L.
V82100553;  CAIXABANK BOLSA USA, FI ;1609; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V82104381;  CAIXABANK BOLSA SELECCION JAPON, FI ;1610; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V82112533;  MUTUAFONDO VALORES SMALL & MID CAPS, FI ;1594; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;Ernst & YoungSL
V82145376;  BANKINTER BOLSA ESPAÑA, FI ;1641; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V82161365;  MARCH FLEXIBLE MAX , FI ;1655; 1) MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.        ;BANCA MARCH, S.A.        ;DELOITTE, S.L.
V82176298;  FONBUSA FONDOS, FI ;1705; 1) GESBUSA, S.A., S.G.I.I.C.        ;CREDIT SUISSE AG, SUCURSAL EN ESPAÑA        ;Auren Auditores
V82201427;  RURAL RENTA FIJA , FI ;1703; 1) GESCOOPERATIVO, S.A., S.G.I.I.C.        ;BANCO COOPERATIVO ESPAÑOL, S.A.;KPMG Auditores, S.L.
V82202482;  BANKINTER DIVIDENDO EUROPA, FI ;1718; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V82204710;  MUTUAFONDO RENTA VARIABLE INTERNACIONAL, FI ;1709; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;Ernst & YoungSL
V82217969;  CAIXABANK RENTA FIJA SELECCION GLOBAL, FI ;1713; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V82289935;  MICROBANK FONDO ETICO, FI ;1783; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V82300914;  QUALITY GLOBAL, FI ;1832; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;ERNST&YOUNG, S.L.
V82310350;  RURAL EURO RENTA VARIABLE, FI ;1822; 1) GESCOOPERATIVO, S.A., S.G.I.I.C.        ;BANCO COOPERATIVO ESPAÑOL, S.A.;KPMG Auditores, S.L.
V82343823;  BBVA BOLSA JAPON, FI ;1829; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V82349762;  BANKINTER TECNOLOGÍA, FI ;1864; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V82360447;  BBVA FUTURO ISR, FI ;1883; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;DELOITTE, S.L.
V82379751;  CAIXABANK BOLSA INDICE ESPAÑA, FI ;1878; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V82471426;  MUTUAFONDO TECNOLOGICO, FI ;1962; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;Ernst & YoungSL
V82480641;  LIBERBANK GLOBAL, FI ;1961; 1) UNIGEST, S.G.I.I.C., S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V82568940;  RURAL TECNOLOGICO RENTA VARIABLE, FI ;2054; 1) GESCOOPERATIVO, S.A., S.G.I.I.C.        ;BANCO COOPERATIVO ESPAÑOL, S.A.;KPMG Auditores, S.L.
